1788016866.377148172	94:bb:43:b5:91:38	33:33:ff:5c:fb:93	86	1
1788016866.377432328	00:01:21:48:26:89	ff:ff:ff:ff:ff:ff	60	2
1788016866.378092000	60:ff:9e:1f:06:6e	01:00:5e:00:00:fb	315	3
1788016866.378532496	60:ff:9e:1f:06:6e	33:33:00:00:00:fb	335	4
1788016866.379310748	42:5c:d0:93:46:e8	01:00:5e:00:00:fb	480	5
1788016866.380170912	42:5c:d0:93:46:e8	33:33:00:00:00:fb	500	6
1788016866.380175831	7e:b4:44:82:1b:ad	01:00:5e:00:00:fb	107	7
1788016866.380447825	7e:de:01:58:b5:49	33:33:00:00:00:fb	139	8
1788016866.380628790	7e:de:01:58:b5:49	01:00:5e:00:00:fb	119	9
1788016866.381103069	7e:b4:44:82:1b:ad	33:33:00:00:00:fb	127	10
1788016866.381103499	00:01:21:48:26:89	ff:ff:ff:ff:ff:ff	60	11
1788016866.381372267	76:89:3d:ce:f2:9f	33:33:00:00:00:16	90	12
1788016866.381544026	b2:79:97:9b:49:90	33:33:00:00:00:02	70	13
1788016866.381717387	76:89:3d:ce:f2:9f	01:00:5e:00:00:16	60	14
1788016866.479887300	00:01:21:48:26:89	ff:ff:ff:ff:ff:ff	60	15
1788016866.479875588	c0:74:ad:dc:1e:64	ff:ff:ff:ff:ff:ff	564	16
1788016866.481418456	76:89:3d:ce:f2:9f	01:00:5e:00:00:16	60	17
1788016866.481411834	c0:74:ad:dc:20:90	ff:ff:ff:ff:ff:ff	564	18
1788016866.481900039	ec:74:d7:26:6a:94	ff:ff:ff:ff:ff:ff	564	19
1788016866.482769760	00:01:21:48:26:89	ff:ff:ff:ff:ff:ff	60	20
1788016866.482769429	ec:74:d7:26:6a:94	ff:ff:ff:ff:ff:ff	564	21
1788016866.483024071	00:01:21:48:26:89	ff:ff:ff:ff:ff:ff	60	22
1788016866.483061190	24:b2:b9:19:1c:fb	ff:ff:ff:ff:ff:ff	60	23
1788016866.483601300	be:b3:51:01:2d:df	33:33:00:00:00:fb	156	24
1788016866.483663466	be:b3:51:01:2d:df	01:00:5e:00:00:fb	136	25
1788016866.582154504	ec:74:d7:26:69:c4	ff:ff:ff:ff:ff:ff	564	26
1788016866.583035776	f8:3d:c6:d0:66:d0	33:33:00:00:00:02	70	27
1788016866.583024325	c0:74:ad:dc:23:fc	ff:ff:ff:ff:ff:ff	564	28
1788016866.584054183	ec:74:d7:26:86:64	ff:ff:ff:ff:ff:ff	564	29
1788016866.584903046	ec:74:d7:26:86:64	ff:ff:ff:ff:ff:ff	564	30
1788016866.585646563	a2:85:e5:02:80:d8	01:00:5e:00:00:fb	482	31
1788016866.585943493	fe:e3:09:82:b8:e5	33:33:00:00:00:fb	116	32
1788016866.585955015	fe:e3:09:82:b8:e5	01:00:5e:00:00:fb	96	33
1788016866.684653708	a2:85:e5:02:80:d8	33:33:00:00:00:fb	502	34
1788016866.684665129	00:01:21:48:26:89	ff:ff:ff:ff:ff:ff	60	35
1788016866.684945528	96:db:97:a5:36:f0	33:33:00:00:00:fb	171	36
