bucket_index,bucket_start_time,frame_count,hits,floods_unknown,floods_broadcast,drops,flood_ratio,hit_rate,table_size
0,0,250,216,1,0,33,0.004,0.995392,48
1,250,250,215,0,0,35,0,1,48
2,500,250,231,0,0,19,0,1,49
3,750,250,221,0,0,29,0,1,50
4,1000,250,211,0,0,39,0,1,47
5,1250,250,217,2,0,31,0.008,0.990868,49
6,1500,250,225,0,0,25,0,1,48
7,1750,250,223,0,0,27,0,1,47
8,2000,250,223,0,0,27,0,1,46
9,2250,250,217,0,0,33,0,1,48
10,2500,250,224,1,0,25,0.004,0.995556,48
11,2750,250,208,1,0,41,0.004,0.995215,46
12,3000,250,215,0,0,35,0,1,48
13,3250,250,219,1,0,30,0.004,0.995455,49
14,3500,250,217,0,0,33,0,1,49
15,3750,250,217,1,0,32,0.004,0.995413,49
16,4000,250,230,0,0,20,0,1,46
17,4250,250,220,1,0,29,0.004,0.995475,47
18,4500,250,212,0,0,38,0,1,45
19,4750,250,221,0,0,29,0,1,49
